epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.588,1.53757,1.70484,1.2473,0.94237,0.25419,0.28299,0.18158,1.24639,0.99632,1.09506,0.00333006,0.00333006,0.00333006
2,401.245,1.36888,1.10158,1.11951,0.94745,0.26757,0.29453,0.19066,1.21222,0.89359,1.07103,0.00653145,0.00653145,0.00653145
3,598.433,1.35429,1.01765,1.11402,0.87309,0.3447,0.38271,0.23929,1.19621,0.9362,1.09066,0.00960085,0.00960085,0.00960085
4,793.16,1.33859,0.94775,1.11238,0.88302,0.3534,0.39786,0.24635,1.19801,0.79422,1.07755,0.009406,0.009406,0.009406
5,987.287,1.28099,0.85238,1.08616,0.78305,0.37791,0.42612,0.28326,1.11084,0.72018,1.04112,0.009208,0.009208,0.009208
6,1181.98,1.23897,0.80182,1.06983,0.90374,0.40046,0.48521,0.32229,1.09624,0.66339,1.03222,0.00901,0.00901,0.00901
7,1376.91,1.20685,0.7603,1.05532,0.58977,0.53299,0.56891,0.38319,1.04557,0.62529,1.0142,0.008812,0.008812,0.008812
8,1571.38,1.18737,0.73604,1.04587,0.79285,0.58464,0.66884,0.45003,1.05219,0.61219,1.00822,0.008614,0.008614,0.008614
9,1766.04,1.16128,0.70607,1.03387,0.78648,0.70195,0.76438,0.5249,1.01239,0.56887,0.99228,0.008416,0.008416,0.008416
10,1961.39,1.14015,0.68756,1.02501,0.86347,0.68354,0.78532,0.53822,0.9918,0.5591,0.98257,0.008218,0.008218,0.008218
11,2155.35,1.12067,0.66767,1.01704,0.8228,0.75777,0.81059,0.55868,0.97606,0.54516,0.97774,0.00802,0.00802,0.00802
12,2348.81,1.11032,0.65763,1.0121,0.8917,0.77283,0.87002,0.59983,0.95854,0.52914,0.96935,0.007822,0.007822,0.007822
13,2542.26,1.09053,0.64074,1.00421,0.9082,0.80145,0.87357,0.62081,0.93046,0.50226,0.96103,0.007624,0.007624,0.007624
14,2736.32,1.07202,0.62679,0.9985,0.93978,0.81097,0.91345,0.65129,0.9183,0.4929,0.95189,0.007426,0.007426,0.007426
15,2930.18,1.05962,0.61661,0.99258,0.94454,0.862,0.93092,0.67348,0.89888,0.48284,0.94716,0.007228,0.007228,0.007228
16,3124.42,1.04813,0.60608,0.98775,0.9539,0.85414,0.93442,0.67226,0.89196,0.47624,0.94159,0.00703,0.00703,0.00703
17,3316.85,1.03702,0.60022,0.98289,0.94499,0.89628,0.94869,0.68587,0.86588,0.46513,0.93271,0.006832,0.006832,0.006832
18,3510.69,1.02027,0.58893,0.97943,0.95829,0.86238,0.93896,0.68338,0.85786,0.45757,0.92837,0.006634,0.006634,0.006634
19,3705.08,1.00656,0.57886,0.97313,0.92185,0.91522,0.95436,0.7074,0.83544,0.44415,0.92273,0.006436,0.006436,0.006436
20,3899.37,0.99702,0.57359,0.96877,0.92308,0.92451,0.96142,0.71965,0.82603,0.43994,0.91983,0.006238,0.006238,0.006238
21,4093.49,0.98629,0.56482,0.96468,0.93728,0.91855,0.95955,0.70926,0.81132,0.43359,0.91583,0.00604,0.00604,0.00604
22,4287.71,0.97877,0.55948,0.96335,0.94551,0.90687,0.96239,0.72375,0.8105,0.42918,0.91486,0.005842,0.005842,0.005842
23,4481.45,0.97061,0.55289,0.96141,0.95723,0.94252,0.97128,0.73786,0.78587,0.42062,0.90809,0.005644,0.005644,0.005644
24,4675.3,0.96152,0.54939,0.95605,0.95858,0.92877,0.96888,0.74399,0.77955,0.41591,0.90405,0.005446,0.005446,0.005446
25,4869.4,0.9518,0.54258,0.95196,0.95715,0.92851,0.9706,0.74913,0.77958,0.41294,0.90142,0.005248,0.005248,0.005248
26,5063.24,0.94804,0.54011,0.95197,0.97217,0.93544,0.97581,0.74711,0.75721,0.40469,0.89695,0.00505,0.00505,0.00505
27,5257.23,0.93788,0.53356,0.94767,0.96212,0.93769,0.9745,0.75103,0.74898,0.40082,0.89401,0.004852,0.004852,0.004852
28,5450.66,0.93009,0.52801,0.94555,0.97554,0.93382,0.97703,0.76484,0.74304,0.39696,0.89046,0.004654,0.004654,0.004654
29,5644.43,0.92243,0.52331,0.94283,0.97936,0.93856,0.97838,0.76703,0.73493,0.39419,0.88909,0.004456,0.004456,0.004456
30,5836.14,0.91578,0.51859,0.9398,0.97143,0.94385,0.97563,0.76736,0.73016,0.39146,0.88725,0.004258,0.004258,0.004258
31,6028.68,0.90741,0.51272,0.93622,0.97724,0.94485,0.98004,0.77511,0.71848,0.38448,0.88387,0.00406,0.00406,0.00406
32,6222.37,0.90508,0.51149,0.93584,0.97255,0.95203,0.98247,0.77593,0.71435,0.38319,0.88251,0.003862,0.003862,0.003862
33,6415.28,0.89268,0.50419,0.93245,0.97618,0.95046,0.98179,0.7771,0.70546,0.3788,0.88027,0.003664,0.003664,0.003664
34,6608.78,0.89021,0.50259,0.93124,0.9911,0.94393,0.98269,0.78051,0.70083,0.3763,0.8787,0.003466,0.003466,0.003466
35,6802.11,0.88374,0.49904,0.92978,0.98934,0.94363,0.98472,0.78095,0.69426,0.37374,0.87707,0.003268,0.003268,0.003268
36,6995.8,0.87453,0.49272,0.92566,0.97407,0.94966,0.98376,0.78149,0.69603,0.37326,0.87588,0.00307,0.00307,0.00307
37,7189.66,0.86721,0.4873,0.92296,0.98976,0.94559,0.9841,0.79064,0.69089,0.37149,0.87404,0.002872,0.002872,0.002872
38,7383.47,0.86785,0.48975,0.92332,0.98137,0.94452,0.98433,0.78796,0.68654,0.36917,0.87332,0.002674,0.002674,0.002674
39,7577.5,0.85651,0.48249,0.92096,0.98527,0.94348,0.98408,0.79415,0.683,0.3672,0.87176,0.002476,0.002476,0.002476
40,7771.25,0.84899,0.47835,0.9177,0.97745,0.95533,0.98515,0.79851,0.67815,0.36483,0.86989,0.002278,0.002278,0.002278
41,7961.58,0.78094,0.42635,0.89379,0.98223,0.95815,0.98607,0.79825,0.66978,0.36143,0.86853,0.00208,0.00208,0.00208
42,8149.54,0.76881,0.4204,0.89118,0.97313,0.97282,0.98692,0.80518,0.66528,0.35908,0.86716,0.001882,0.001882,0.001882
43,8339.04,0.7596,0.41482,0.88821,0.98579,0.96611,0.98803,0.81183,0.66753,0.35874,0.86657,0.001684,0.001684,0.001684
44,8528.28,0.74888,0.40894,0.88461,0.97961,0.96284,0.98742,0.80963,0.66174,0.3565,0.86498,0.001486,0.001486,0.001486
45,8717.19,0.74574,0.40763,0.88359,0.98561,0.96097,0.98716,0.81357,0.6565,0.35496,0.86335,0.001288,0.001288,0.001288
46,8906.2,0.73528,0.40201,0.88131,0.98594,0.96083,0.98742,0.81229,0.65278,0.35302,0.86222,0.00109,0.00109,0.00109
47,9094.83,0.72739,0.39795,0.87824,0.98175,0.96435,0.9874,0.81354,0.65217,0.35238,0.86139,0.000892,0.000892,0.000892
48,9283.64,0.72091,0.3951,0.87633,0.98262,0.96794,0.98743,0.81495,0.65036,0.35119,0.86087,0.000694,0.000694,0.000694
49,9472.01,0.71213,0.38991,0.8745,0.97729,0.96794,0.98772,0.81394,0.64683,0.34993,0.86008,0.000496,0.000496,0.000496
50,9661.06,0.70911,0.38764,0.87344,0.98273,0.96807,0.98796,0.81411,0.64615,0.34909,0.85954,0.000298,0.000298,0.000298
